年月日,降水量の合計(mm),平均気温(℃),最高気温(℃),最低気温(℃),日照時間(時間)
2020/2/13,0,11.7,18.2,7.8,5.7
2020/2/14,0,12,16,8.5,3.1
2020/2/15,0,12.4,16.2,7.6,2.4
2020/2/16,8.5,9.3,11.8,7.8,0
2020/2/17,0,10.3,16.8,5.8,3.5
2020/2/18,0,7.6,12.5,2.8,9.2
2020/2/19,0,8.1,13.3,3.6,9.5
2020/2/20,0,9,13.1,4.7,4.6
2020/2/21,0,10,14.2,5.4,9.1
2020/2/22,2.5,12.5,18.2,6.4,4.1
2020/2/23,0,10.4,16,5.4,9.7
2020/2/24,0,9.8,15.4,4.6,9.5
2020/2/25,0,10.5,14.4,6.2,3.6
2020/2/26,3,8.1,9.4,7,0
2020/2/27,0,7,11.9,3.6,10.6
2020/2/28,0,7,12.4,1.9,9
2020/2/29,1,9.4,14.4,5.4,6
2020/3/1,0.5,12,17.9,6.6,9.5
2020/3/2,10,7.3,11.2,5.8,0
2020/3/3,0,11.3,17.8,5.3,10.1
2020/3/4,1.5,8.9,10.9,7.9,0
2020/3/5,1,9.2,13.7,6.1,5.9
2020/3/6,0,9.4,15.1,5.4,10.7
2020/3/7,1.5,7.3,10.4,5.2,0
2020/3/8,6,7.2,8.9,5.6,0
2020/3/9,0,13.1,19.6,7.6,3.9
2020/3/10,24.5,14.7,18.2,12.6,0
2020/3/11,0,15.3,21.4,9.8,7.9
2020/3/12,0,11.4,16.7,7,10
2020/3/13,0,12.5,18.7,6.8,7
2020/3/14,25,5.5,12.3,1.3,0
2020/3/15,0,7.1,12,1.8,8.4
2020/3/16,0,7.1,14.4,3.6,9.2
2020/3/17,0,7.7,12.7,2.3,8.4
2020/3/18,0,11.9,18.4,4.8,10.7
2020/3/19,1,14.6,22,6.5,11
2020/3/20,0,14.5,19.4,9.5,8.9
2020/3/21,0,13.8,21,7.6,11
2020/3/22,0,16.8,23.7,10.5,9.8
2020/3/23,0,10.3,14,7.7,2.4
2020/3/24,0,8.2,12.6,4.7,11.3
